City Name,Zone Name,Ward Name,Ward No.,Area (in sq km),Total Population (in thousands),Population - Male (in thousands),Population - female (in thousands),population - children aged 0-14 (in thousands),Population - youth aged 15-24 (in thousands),Population - adults aged 25-60 (in thousands),Population - Senior citizens aged 60+ (in thousands)
Chennai,Tondiarpet,NA,1,3.37,76760,38805,37955,NA,NA,NA,NA
Chennai,Tondiarpet,NA,2,4.58,66897,33781,33116,NA,NA,NA,NA
Chennai,Tondiarpet,NA,3,2.48,52995,26804,26191,NA,NA,NA,NA
Chennai,Tondiarpet,NA,4,0.7,15186,7506,7680,NA,NA,NA,NA
Chennai,Tondiarpet,NA,5,0.63,45204,22583,22621,NA,NA,NA,NA
Chennai,Tondiarpet,NA,6,0.29,19523,9739,9784,NA,NA,NA,NA
Chennai,Tondiarpet,NA,7,0.71,22161,11063,11098,NA,NA,NA,NA
Chennai,Tondiarpet,NA,8,0.46,33039,16401,16638,NA,NA,NA,NA
Chennai,Tondiarpet,NA,9,0.32,20306,10184,10122,NA,NA,NA,NA
Chennai,Tondiarpet,NA,10,0.86,44747,22331,22416,NA,NA,NA,NA
Chennai,Tondiarpet,NA,11,0.54,33287,16596,16691,NA,NA,NA,NA
Chennai,Tondiarpet,NA,12,0.16,16254,7999,8255,NA,NA,NA,NA
Chennai,Tondiarpet,NA,13,0.28,21829,10813,11016,NA,NA,NA,NA
Chennai,Tondiarpet,NA,14,0.83,35130,17440,17690,NA,NA,NA,NA
Chennai,Basin Bridge,NA,15,0.37,19952,10114,9838,NA,NA,NA,NA
Chennai,Basin Bridge,NA,16,0.41,22947,11578,11369,NA,NA,NA,NA
Chennai,Basin Bridge,NA,17,0.79,24670,12537,12133,NA,NA,NA,NA
Chennai,Basin Bridge,NA,18,0.45,16424,8197,8227,NA,NA,NA,NA
Chennai,Basin Bridge,NA,19,0.19,15457,7761,7696,NA,NA,NA,NA
Chennai,Basin Bridge,NA,20,0.15,13276,6625,6651,NA,NA,NA,NA
Chennai,Basin Bridge,NA,21,0.14,16044,7969,8075,NA,NA,NA,NA
Chennai,Basin Bridge,NA,22,1.22,26177,12962,13215,NA,NA,NA,NA
Chennai,Basin Bridge,NA,23,0.2,18434,9503,8931,NA,NA,NA,NA
Chennai,Basin Bridge,NA,24,0.25,21002,10531,10471,NA,NA,NA,NA
Chennai,Basin Bridge,NA,25,0.24,19261,9609,9652,NA,NA,NA,NA
Chennai,Basin Bridge,NA,26,0.33,20239,10416,9823,NA,NA,NA,NA
Chennai,Basin Bridge,NA,27,2.51,24426,12806,11620,NA,NA,NA,NA
Chennai,Basin Bridge,NA,28,2.69,26156,13826,12330,NA,NA,NA,NA
Chennai,Basin Bridge,NA,29,0.18,19415,10172,9243,NA,NA,NA,NA
Chennai,Basin Bridge,NA,30,0.5,25286,13610,11676,NA,NA,NA,NA
Chennai,Basin Bridge,NA,31,0.69,32152,16030,16122,NA,NA,NA,NA
Chennai,Pulianthope,NA,32,1.07,32269,16124,16145,NA,NA,NA,NA
Chennai,Pulianthope,NA,33,1.25,41617,20930,20687,NA,NA,NA,NA
Chennai,Pulianthope,NA,34,0.67,49559,24710,24849,NA,NA,NA,NA
Chennai,Pulianthope,NA,35,0.8,40075,20183,19892,NA,NA,NA,NA
Chennai,Pulianthope,NA,36,1.14,52262,26082,26180,NA,NA,NA,NA
Chennai,Pulianthope,NA,37,0.72,26491,13110,13381,NA,NA,NA,NA
Chennai,Pulianthope,NA,38,0.92,35187,17533,17654,NA,NA,NA,NA
Chennai,Pulianthope,NA,39,1.36,30573,15390,15183,NA,NA,NA,NA
Chennai,Pulianthope,NA,40,1.36,51479,25710,25769,NA,NA,NA,NA
Chennai,Pulianthope,NA,41,0.23,21550,10871,10679,NA,NA,NA,NA
Chennai,Pulianthope,NA,42,0.22,27857,13821,14036,NA,NA,NA,NA
Chennai,Pulianthope,NA,43,0.24,15835,8124,7711,NA,NA,NA,NA
Chennai,Pulianthope,NA,44,0.15,14291,7343,6948,NA,NA,NA,NA
Chennai,Pulianthope,NA,45,0.36,17871,8839,9032,NA,NA,NA,NA
Chennai,Pulianthope,NA,46,0.23,12747,6423,6324,NA,NA,NA,NA
Chennai,Pulianthope,NA,47,1.18,14379,7370,7009,NA,NA,NA,NA
Chennai,Pulianthope,NA,48,0.41,18269,9385,8884,NA,NA,NA,NA
Chennai,Pulianthope,NA,49,0.84,16889,8677,8212,NA,NA,NA,NA
Chennai,Ayanavaram,NA,50,1.66,51527,25678,25849,NA,NA,NA,NA
Chennai,Ayanavaram,NA,51,0.9,46250,22896,23354,NA,NA,NA,NA
Chennai,Ayanavaram,NA,52,0.66,23233,11610,11623,NA,NA,NA,NA
Chennai,Ayanavaram,NA,53,1.07,23831,11720,12111,NA,NA,NA,NA
Chennai,Ayanavaram,NA,54,1.05,39058,19355,19703,NA,NA,NA,NA
Chennai,Ayanavaram,NA,55,2.65,23220,11378,11842,NA,NA,NA,NA
Chennai,Ayanavaram,NA,56,0.66,38123,18860,19263,NA,NA,NA,NA
Chennai,Ayanavaram,NA,57,0.41,21805,10779,11026,NA,NA,NA,NA
Chennai,Ayanavaram,NA,58,1.2,30577,15172,15405,NA,NA,NA,NA
Chennai,Ayanavaram,NA,59,0.28,23595,11688,11907,NA,NA,NA,NA
Chennai,Ayanavaram,NA,60,0.71,29821,14753,15068,NA,NA,NA,NA
Chennai,Ayanavaram,NA,61,0.39,17321,8818,8503,NA,NA,NA,NA
Chennai,Ayanavaram,NA,62,4.24,110474,55689,54785,NA,NA,NA,NA
Chennai,Kilpauk,NA,63,2.44,81648,40932,40716,NA,NA,NA,NA
Chennai,Kilpauk,NA,64,3.68,72144,36618,35526,NA,NA,NA,NA
Chennai,Kilpauk,NA,65,4.96,95564,48064,47500,NA,NA,NA,NA
